date,open,close,high,low,volume
2025-11-25,84.3,80.88,96.83,71.54,266664.37
2025-11-26,75.21,77.47,81.32,71.57,201958.11
2025-11-27,74.02,72.02,76.92,71.95,115806.63
2025-11-28,72.29,68.96,73.18,68.86,104353.67
2025-12-01,68.74,65.43,68.74,65.39,99116.94
2025-12-02,64.41,65.74,66.54,62.95,96127.7
2025-12-03,64.1,62.94,64.38,62.94,64603.02
2025-12-04,62.35,62.54,63.77,61.38,52924.17
2025-12-05,61.97,62.75,63.23,61.69,40573.04
2025-12-08,62.75,62.96,63.72,62.63,47913.82
2025-12-09,63.41,65.33,66.11,63.29,78632.05
2025-12-10,64.68,63.13,64.68,62.89,56545.21
2025-12-11,62.9,62.99,65.33,62.12,55513.44
2025-12-12,62.46,62.06,62.54,61.93,36011.82
2025-12-15,62.05,60.38,62.05,60.33,42514.29
2025-12-16,59.92,57.13,59.92,57.11,54200.89
2025-12-17,57.03,57.15,57.32,55.94,36933.36
2025-12-18,56.74,57.11,58.45,56.55,30353.62
2025-12-19,57.13,57.67,57.79,56.75,23538.05
2025-12-22,57.42,57.44,57.98,57.37,25465.13
2025-12-23,57.43,58.41,58.56,57.02,37045.47
2025-12-24,58.12,58.07,58.29,57.71,24705.73
2025-12-25,58.06,58.0,58.28,57.81,21704.39
2025-12-26,57.84,57.99,58.62,57.73,21885.36
2025-12-29,58.48,58.07,58.81,57.99,23857.12
2025-12-30,57.62,57.37,57.67,56.5,22352.93
2025-12-31,57.59,57.77,57.98,56.85,23679.12
2026-01-05,57.78,58.43,58.56,57.78,28699.45
2026-01-06,58.49,61.23,61.54,58.34,66211.94
2026-01-07,60.89,63.61,64.87,59.83,88602.24
2026-01-08,63.0,64.7,66.15,62.69,73703.64
2026-01-09,64.5,66.3,66.96,64.12,60625.66
2026-01-12,66.31,68.63,69.5,66.31,76944.85
2026-01-13,68.17,67.8,69.78,66.97,61784.05
2026-01-14,67.7,66.93,69.48,66.12,57953.28
2026-01-15,66.58,69.8,71.17,66.58,48884.54
2026-01-16,70.65,76.78,76.78,70.15,56233.56
2026-01-19,76.78,84.06,84.46,76.78,99073.03
2026-01-20,82.19,80.8,86.58,79.42,86886.24
2026-01-21,80.49,81.7,82.31,78.1,51516.98
2026-01-22,81.0,81.76,82.4,78.7,43375.41
2026-01-23,84.07,83.61,86.66,83.06,45568.44
2026-01-26,83.99,86.31,86.71,82.3,43239.54
2026-01-27,87.01,86.13,90.28,85.03,42954.14
2026-01-28,86.12,86.55,87.38,83.0,42042.63
2026-01-29,87.57,82.1,89.98,81.0,43913.84
2026-01-30,81.39,79.99,82.46,79.8,27031.64
2026-02-02,80.82,76.93,80.82,76.33,26661.71
2026-02-03,77.71,78.31,79.0,76.66,21374.52
2026-02-04,78.68,80.41,81.78,78.68,30110.0
2026-02-05,79.73,77.63,80.35,77.6,18220.0
2026-02-06,77.59,77.45,78.0,76.0,17500.0
2026-02-09,77.73,77.89,80.07,76.12,26926.46
2026-02-10,77.69,76.98,77.99,76.01,21862.03
2026-02-11,76.99,76.59,77.63,75.7,16145.0
2026-02-12,76.19,76.0,77.26,75.5,17091.61
2026-02-13,75.83,74.6,75.99,74.51,13097.0
2026-02-24,75.36,75.03,76.4,74.32,21378.87
2026-02-25,75.3,76.79,77.49,74.84,17872.78
2026-02-26,76.8,76.21,77.22,74.5,17756.07
2026-02-27,76.5,75.89,76.5,74.14,19327.5
2026-03-02,75.0,72.78,75.98,72.5,22624.0
2026-03-03,72.72,70.65,73.48,70.31,19579.43
2026-03-04,69.52,70.08,70.95,68.78,16910.9
2026-03-05,71.43,70.43,72.66,70.2,13876.0
2026-03-06,70.4,70.33,71.86,70.0,13732.7
2026-03-09,69.65,67.17,69.65,65.49,26018.16
2026-03-10,68.5,68.95,69.91,68.01,12784.63
2026-03-11,68.95,69.1,69.35,67.42,16082.0
2026-03-12,68.75,71.82,73.67,68.21,49826.13
2026-03-13,71.8,68.89,71.9,68.58,20513.0
2026-03-16,68.3,70.35,70.87,67.88,17080.3
2026-03-17,70.35,70.12,71.23,69.55,14354.9
2026-03-18,70.45,69.69,70.45,68.1,10613.0
2026-03-19,69.0,66.86,69.41,66.55,14475.0
2026-03-20,66.87,65.82,68.06,65.81,11586.56
2026-03-23,65.0,62.43,65.01,62.0,19197.7
2026-03-24,63.48,63.64,64.07,62.1,12631.46
2026-03-25,63.64,64.89,66.0,63.64,10762.0
2026-03-26,64.91,63.13,65.1,62.26,17209.63
2026-03-27,62.39,63.9,64.42,62.16,6846.7
2026-03-30,63.0,64.35,64.82,62.75,15016.15
2026-03-31,64.35,62.03,64.74,62.03,16192.0
2026-04-01,63.1,64.56,64.87,62.72,15444.51
2026-04-02,64.16,63.28,64.54,62.95,8812.0
2026-04-03,63.05,64.41,65.49,62.22,19973.72
